iter	Passed	Remaining
0	59	58951
1	60	30029
2	61	20325
3	61	15381
4	62	12411
5	62	10430
6	63	9031
7	64	7944
8	64	7098
9	64	6428
10	65	5929
11	68	5640
12	68	5233
13	69	4882
14	70	4615
15	70	4364
16	74	4293
17	74	4086
18	75	3899
19	76	3731
20	76	3580
21	77	3441
22	78	3314
23	91	3734
24	92	3607
25	93	3489
26	93	3379
27	94	3276
28	94	3179
29	100	3259
30	101	3184
31	102	3111
32	103	3036
33	104	2967
34	105	2899
35	118	3162
36	118	3094
37	119	3026
38	120	2961
39	121	2910
40	122	2859
41	123	2805
42	123	2753
43	124	2706
44	125	2661
45	128	2663
46	131	2660
47	135	2691
48	136	2650
49	137	2610
50	137	2565
51	138	2523
52	139	2486
53	139	2450
54	140	2415
55	140	2376
56	141	2339
57	141	2302
58	142	2267
59	142	2233
60	142	2200
61	143	2169
62	144	2142
63	144	2116
64	145	2093
65	145	2065
66	146	2038
67	146	2008
68	146	1981
69	147	1956
70	147	1932
71	148	1908
72	148	1885
73	148	1862
74	149	1844
75	150	1826
76	150	1808
77	152	1805
78	153	1786
79	153	1766
80	153	1747
81	154	1728
82	154	1709
83	155	1691
84	155	1672
85	155	1655
86	155	1636
87	156	1620
88	156	1605
89	157	1590
90	158	1579
91	158	1565
92	159	1552
93	159	1538
94	160	1525
95	160	1512
96	161	1499
97	161	1487
98	162	1474
99	162	1462
100	163	1451
101	163	1437
102	163	1425
103	164	1414
104	164	1403
105	165	1393
106	165	1382
107	166	1373
108	167	1365
109	167	1357
110	168	1348
111	169	1342
112	169	1333
113	170	1324
114	170	1315
115	171	1305
116	171	1297
117	173	1295
118	174	1288
119	174	1280
120	175	1272
121	175	1263
122	175	1253
123	176	1245
124	176	1237
125	177	1229
126	177	1222
127	178	1213
128	178	1205
129	179	1198
130	179	1191
131	180	1188
132	181	1182
133	182	1176
134	182	1170
135	183	1165
136	184	1159
137	184	1152
138	185	1146
139	185	1141
140	186	1137
141	187	1133
142	188	1127
143	189	1124
144	189	1119
145	190	1113
146	190	1107
147	191	1101
148	191	1095
149	192	1089
150	192	1083
151	193	1077
152	194	1074
153	194	1070
154	195	1065
155	196	1062
156	196	1057
157	197	1052
158	197	1047
159	198	1041
160	198	1036
161	199	1031
162	199	1026
163	200	1022
164	200	1017
165	201	1012
166	202	1007
167	202	1003
168	203	1002
169	204	997
170	204	992
171	205	987
172	205	983
173	206	979
174	206	974
175	207	970
176	208	967
177	208	964
178	209	961
179	210	958
180	210	953
181	211	948
182	211	943
183	211	939
184	212	935
185	212	931
186	213	927
187	213	923
188	214	919
189	214	915
190	215	911
191	215	907
192	216	904
193	216	901
194	217	899
195	218	896
196	219	892
197	219	889
198	220	885
199	220	881
200	221	878
201	221	874
202	221	871
203	222	868
204	223	865
205	223	862
206	224	860
207	225	858
208	225	854
209	226	850
210	226	847
211	226	843
212	227	839
213	227	836
214	228	832
215	228	829
216	228	825
217	229	822
218	229	819
219	230	816
220	231	814
221	232	813
222	232	810
223	233	807
224	233	804
225	234	802
226	234	799
227	235	796
228	235	793
229	236	791
230	237	790
231	238	787
232	238	784
233	238	781
234	239	778
235	239	775
236	240	772
237	240	769
238	240	766
239	241	763
240	241	760
241	241	757
242	242	754
243	242	751
244	243	748
245	243	746
246	243	743
247	244	740
248	244	738
249	245	735
250	245	732
251	246	731
252	246	728
253	247	726
254	247	723
255	248	721
256	248	719
257	249	716
258	249	714
259	250	713
260	251	711
261	252	710
262	252	708
263	253	706
264	253	703
265	254	701
266	254	698
267	254	696
268	255	693
269	255	691
270	255	688
271	256	686
272	256	683
273	257	681
274	257	678
275	257	676
276	258	674
277	258	672
278	259	670
279	260	669
280	261	668
281	261	666
282	262	664
283	262	662
284	263	660
285	263	658
286	264	656
287	264	654
288	265	652
289	266	651
290	266	650
291	268	650
292	268	648
293	269	647
294	269	645
295	270	643
296	271	641
297	271	639
298	271	637
299	272	635
300	272	633
301	273	632
302	274	631
303	275	629
304	275	627
305	276	626
306	276	624
307	277	622
308	277	621
309	278	619
310	278	617
311	279	615
312	279	613
313	280	611
314	281	611
315	281	609
316	282	608
317	283	607
318	283	605
319	284	603
320	284	601
321	284	600
322	285	598
323	285	596
324	286	594
325	286	592
326	287	590
327	287	589
328	288	587
329	288	586
330	289	585
331	289	583
332	290	581
333	290	579
334	291	578
335	291	576
336	293	576
337	293	574
338	293	573
339	294	571
340	294	569
341	295	567
342	295	565
343	295	564
344	296	562
345	296	560
346	296	558
347	297	557
348	297	555
349	298	553
350	298	551
351	298	550
352	299	548
353	299	546
354	299	544
355	300	543
356	300	541
357	301	540
358	302	539
359	302	538
360	303	536
361	303	535
362	303	533
363	304	531
364	304	530
365	305	528
366	305	526
367	305	525
368	306	523
369	306	522
370	307	520
371	307	519
372	308	518
373	308	516
374	309	515
375	310	514
376	310	513
377	311	512
378	311	510
379	311	508
380	312	507
381	312	505
382	313	504
383	313	502
384	313	501
385	314	499
386	314	498
387	315	496
388	315	495
389	315	493
390	316	492
391	316	491
392	317	490
393	318	489
394	318	487
395	319	486
396	319	485
397	319	483
398	320	482
399	320	480
400	321	479
401	321	478
402	321	476
403	322	475
404	322	473
405	322	472
406	323	471
407	323	469
408	324	468
409	324	467
410	325	466
411	326	465
412	327	465
413	328	464
414	328	463
415	329	462
416	329	461
417	330	460
418	330	458
419	331	457
420	332	457
421	333	456
422	333	455
423	334	453
424	334	452
425	334	451
426	335	449
427	335	448
428	336	447
429	336	445
430	336	444
431	337	443
432	337	442
433	338	441
434	339	440
435	340	440
436	340	439
437	341	438
438	341	436
439	342	435
440	342	434
441	343	433
442	343	432
443	344	431
444	344	429
445	345	428
446	345	428
447	347	427
448	347	426
449	348	425
450	348	424
451	349	423
452	349	422
453	349	420
454	350	419
455	350	418
456	351	417
457	352	416
458	352	415
459	354	415
460	354	414
461	354	413
462	355	411
463	355	410
464	355	409
465	356	408
466	356	407
467	357	405
468	357	404
469	357	403
470	358	402
471	358	401
472	359	400
473	359	398
474	359	397
475	360	397
476	361	396
477	362	395
478	362	394
479	363	393
480	363	392
481	364	391
482	364	390
483	365	389
484	365	388
485	365	386
486	366	385
487	366	384
488	366	383
489	367	382
490	367	381
491	368	380
492	372	383
493	373	382
494	374	382
495	375	381
496	376	381
497	377	380
498	377	379
499	378	378
500	379	377
501	379	376
502	379	375
503	380	374
504	381	373
505	381	372
506	381	371
507	382	370
508	382	369
509	383	368
510	383	367
511	384	366
512	384	365
513	384	364
514	385	362
515	385	361
516	386	360
517	386	359
518	387	358
519	387	357
520	387	356
521	388	355
522	388	354
523	389	353
524	390	352
525	390	352
526	392	351
527	392	350
528	392	349
529	393	348
530	393	347
531	394	346
532	394	345
533	394	344
534	395	343
535	395	342
536	395	341
537	396	340
538	396	339
539	397	338
540	397	337
541	397	336
542	398	335
543	398	334
544	399	333
545	399	332
546	400	331
547	400	330
548	401	329
549	401	328
550	401	327
551	402	326
552	402	325
553	402	324
554	403	323
555	403	322
556	404	321
557	404	320
558	405	319
559	405	318
560	405	317
561	406	316
562	406	315
563	406	314
564	407	313
565	407	312
566	408	311
567	408	310
568	408	309
569	409	308
570	409	307
571	410	307
572	410	306
573	411	305
574	411	304
575	412	303
576	412	302
577	413	301
578	413	300
579	414	299
580	414	298
581	414	297
582	415	296
583	415	296
584	415	295
585	416	294
586	416	293
587	417	292
588	417	291
589	417	290
590	418	289
591	418	288
592	419	287
593	419	286
594	419	285
595	420	284
596	420	283
597	420	283
598	421	282
599	421	281
600	422	280
601	422	279
602	422	278
603	423	277
604	423	276
605	424	275
606	424	274
607	424	273
608	425	273
609	425	272
610	426	271
611	426	270
612	426	269
613	427	268
614	427	267
615	427	266
616	428	265
617	428	265
618	429	264
619	429	263
620	429	262
621	430	261
622	430	260
623	431	259
624	431	258
625	431	257
626	432	257
627	432	256
628	432	255
629	433	254
630	433	253
631	434	252
632	434	251
633	434	251
634	435	250
635	435	249
636	435	248
637	436	247
638	436	246
639	437	245
640	437	245
641	437	244
642	438	243
643	438	242
644	439	241
645	439	240
646	439	239
647	440	239
648	440	238
649	441	237
650	441	236
651	441	235
652	442	234
653	442	234
654	442	233
655	443	232
656	443	231
657	444	230
658	444	229
659	444	229
660	445	228
661	445	227
662	445	226
663	446	225
664	446	225
665	447	224
666	447	223
667	447	222
668	448	221
669	448	220
670	449	220
671	449	219
672	449	218
673	450	217
674	450	216
675	451	216
676	451	215
677	451	214
678	452	213
679	452	212
680	452	212
681	453	211
682	453	210
683	454	209
684	454	209
685	455	208
686	455	207
687	456	206
688	456	206
